,pct_change,acc_pct_change,pos_change_in_a_row,neg_change_in_a_row,RSI_14,Close_Minus_SuperTrend,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Close_Minus_EMA_200,Close_Minus_EMA_100,Close_Minus_EMA_50,Close_Minus_EMA_20,IS_EMA_Ribbon,Minute_Number,is_win
10368,0.004,0.009000000000000001,2,0,59.9,0.0,0.01,0.006,0.005,0.493,0.22,0.094,0.065,1,73.0,0
10369,-0.003,-0.003,0,1,55.12,-0.030000000000001137,0.012,0.006,0.006,0.458,0.186,0.061,0.032,1,74.0,0
10370,-0.003,-0.006,0,2,50.76,-0.0600000000000005,0.01,0.003,0.007,0.424,0.153,0.03,0.002,1,75.0,1
10371,0.003,0.003,1,0,54.63,-0.030000000000001137,0.011,0.004,0.008,0.45,0.18,0.058,0.029,1,76.0,0
10372,-0.003,-0.003,0,1,50.37,-0.0600000000000005,0.01,0.002,0.008,0.416,0.147,0.027,-0.001,1,77.0,1
10373,0.003,0.003,1,0,54.21,-0.030000000000001137,0.011,0.002,0.009,0.441,0.173,0.054,0.026,1,78.0,0
10374,0.0,0.003,0,0,21.43,-0.41999999999999993,-0.032,-0.033,0.001,-0.108,-0.369,-0.476,-0.474,0,1.0,1
10375,0.013,0.016,1,0,30.48,-0.3100000000000005,-0.057,-0.046,-0.011,0.002,-0.254,-0.352,-0.329,0,2.0,1
10376,-0.009,-0.009,0,1,27.96,-0.39000000000000057,-0.082,-0.057,-0.025,-0.077,-0.328,-0.415,-0.37,0,3.0,1
10377,0.016,0.016,1,0,37.68,-0.25,-0.09,-0.052,-0.038,0.062,-0.184,-0.264,-0.208,0,4.0,1
10378,0.009,0.025,2,0,42.46,-0.16999999999999993,-0.088,-0.04,-0.048,0.141,-0.102,-0.177,-0.116,0,5.0,1
10379,0.004,0.029,3,0,44.74,-0.13000000000000078,-0.083,-0.028,-0.055,0.179,-0.061,-0.131,-0.069,0,6.0,1
10380,0.016,0.045,4,0,51.93,0.5700000000000003,-0.066,-0.009,-0.057,0.316,0.078,0.008,0.064,0,7.0,1
10381,-0.001,-0.001,0,1,51.41,0.47000000000000064,-0.054,0.003,-0.057,0.303,0.066,-0.002,0.049,0,8.0,1
10382,0.005,0.005,1,0,53.87,0.5199999999999996,-0.039,0.014,-0.053,0.349,0.114,0.046,0.09,0,9.0,1
10383,-0.003,-0.003,0,1,52.17,0.4900000000000002,-0.03,0.019,-0.048,0.316,0.082,0.016,0.054,0,10.0,1
10384,-0.012,-0.015,0,2,46.37,0.3800000000000008,-0.031,0.014,-0.045,0.204,-0.027,-0.091,-0.051,0,11.0,1
10385,0.022,0.022,1,0,55.96,0.5800000000000001,-0.015,0.024,-0.039,0.4,0.17,0.105,0.135,0,12.0,1
10386,0.002,0.024,2,0,56.79,0.5099999999999998,-0.001,0.03,-0.031,0.416,0.186,0.12,0.14,0,13.0,1
10387,0.009,0.033,3,0,60.04,0.5099999999999998,0.016,0.038,-0.022,0.491,0.261,0.192,0.199,0,14.0,0
10388,0.007,0.04,4,0,62.68,0.4900000000000002,0.035,0.046,-0.01,0.555,0.324,0.252,0.244,0,15.0,0
10389,0.011,0.051000000000000004,5,0,66.13,0.5099999999999998,0.057,0.054,0.003,0.649,0.416,0.338,0.311,1,16.0,0
10390,-0.008,-0.008,0,1,61.26,0.379999999999999,0.068,0.052,0.016,0.563,0.329,0.248,0.209,1,17.0,0
10391,-0.005,-0.013000000000000001,0,2,58.36,0.33000000000000007,0.072,0.044,0.027,0.508,0.273,0.19,0.144,1,18.0,0
10392,0.012,0.012,1,0,62.55,0.4399999999999995,0.082,0.044,0.038,0.612,0.376,0.289,0.23,1,19.0,0
10393,0.005,0.017,2,0,64.31,0.45000000000000107,0.094,0.044,0.049,0.655,0.417,0.325,0.253,1,20.0,0
10394,0.007,0.024,3,0,66.68,0.4599999999999991,0.107,0.046,0.061,0.718,0.478,0.38,0.292,1,21.0,0
10395,0.001,0.025,4,0,67.01,0.41000000000000014,0.117,0.045,0.072,0.721,0.478,0.375,0.273,1,22.0,0
10396,-0.004,-0.004,0,1,64.22,0.33999999999999986,0.121,0.039,0.082,0.674,0.429,0.321,0.211,1,23.0,0
10397,0.001,0.001,1,0,64.62,0.3200000000000003,0.123,0.033,0.09,0.677,0.431,0.318,0.2,1,24.0,0
10398,0.001,0.002,2,0,65.04,0.33000000000000007,0.124,0.027,0.097,0.68,0.432,0.316,0.19,1,25.0,0
10399,0.004,0.006,3,0,66.73,0.34999999999999964,0.126,0.024,0.103,0.713,0.463,0.342,0.208,1,26.0,0
10400,-0.004,-0.004,0,1,63.43,0.27999999999999936,0.124,0.017,0.107,0.667,0.414,0.29,0.152,1,27.0,0
10401,-0.008,-0.012,0,2,57.32,0.1999999999999993,0.114,0.006,0.108,0.581,0.328,0.202,0.065,1,28.0,0
